N,max_threads,elapsed,speedup,efficiency
100000.0,1,0.011341666666666667,1.0,1.0
100000.0,2,0.008058000000000001,1.407503929841979,0.7037519649209895
100000.0,4,0.005928333333333334,1.9131290413269606,0.47828226033174015
100000.0,8,0.006915999999999999,1.6399171004434163,0.20498963755542704
200000.0,1,0.023124000000000002,1.0,1.0
200000.0,2,0.014919333333333333,1.5499352071138122,0.7749676035569061
200000.0,4,0.009257666666666666,2.4978216253195553,0.6244554063298888
200000.0,8,0.009371666666666667,2.467437311043927,0.30842966388049087
500000.0,1,0.046596,1.0,1.0
500000.0,2,0.039893333333333336,1.168014705882353,0.5840073529411764
500000.0,4,0.030894333333333333,1.5082377566544025,0.37705943916360063
500000.0,8,0.018290666666666667,2.547528794284881,0.31844109928561015
1000000.0,1,0.07587333333333333,1.0,1.0
1000000.0,2,0.07394866666666666,1.0260270638190456,0.5130135319095228
1000000.0,4,0.055163333333333335,1.375430539609644,0.343857634902411
1000000.0,8,0.03513666666666667,2.1593776681529264,0.2699222085191158
